Timestamp,UUID,Query,Step,Input Tokens,Output Tokens,Provider
2026-09-03T08:34:34.556339,cb97e6d8-a2dd-4542-970a-0b33364ff938,"In the case of State of Rajasthan vs. Teg Bahadur & Ors., what were the key arguments presented by the counsel for the appellant and the respondents-accused regarding the reliability of evidence and the application of Section 113-B of the Evidence Act?",intent_classification,427,229,groq
2026-09-03T08:34:48.756131,cb97e6d8-a2dd-4542-970a-0b33364ff938,"In the case of State of Rajasthan vs. Teg Bahadur & Ors., what were the key arguments presented by the counsel for the appellant and the respondents-accused regarding the reliability of evidence and the application of Section 113-B of the Evidence Act?",answer_generation,6478,1395,sarvam
2026-09-03T08:42:46.289866,c885d290-332a-48ef-b1cb-c7c430913200,"In the case of State of Rajasthan vs. Teg Bahadur & Ors., what were the key arguments presented by the counsel for the appellant and the respondents-accused regarding the reliability of evidence and the application of Section 113-B of the Evidence Act?",intent_classification,427,202,groq
2026-09-03T08:43:12.828955,c885d290-332a-48ef-b1cb-c7c430913200,"In the case of State of Rajasthan vs. Teg Bahadur & Ors., what were the key arguments presented by the counsel for the appellant and the respondents-accused regarding the reliability of evidence and the application of Section 113-B of the Evidence Act?",answer_generation,6478,3267,sarvam
2026-09-05T11:01:35.636232,d9ec6f1d-292b-4b57-afdc-1bd6011aa58b,"In a custody dispute between the father and the remarried mother, what are the key considerations for the welfare of the child according to Indian law?",intent_classification,445,398,groq,1.0.0
2026-09-05T11:01:52.449597,d9ec6f1d-292b-4b57-afdc-1bd6011aa58b,"In a custody dispute between the father and the remarried mother, what are the key considerations for the welfare of the child according to Indian law?",answer_generation,5426,1143,sarvam,1.0.0
2026-09-05T11:02:19.701193,9b97bd70-8815-4bdc-8502-ad04e382fdd8,"In the case of State of Karnataka vs. Mark Henry, what were the key arguments presented by the counsel ",intent_classification,438,385,groq,1.0.0
2026-09-05T11:08:23.852370,10a2f74d-4361-4bb1-9898-36b6e7afb01d,"In the case of State of Karnataka vs. Mark Henry, what were the key arguments presented by the counsel",intent_classification,437,376,groq,1.0.0
2026-09-05T11:19:33.299441,f1670ce2-5160-4a0f-b4cf-071d2a6218be,"In the case of State of Karnataka vs. Mark Henry, what were the key arguments presented by the counsel",intent_classification,437,426,groq,1.0.0
2026-09-05T11:20:03.091733,dda02f24-0b20-4b08-8786-c39a73b64181,"In a custody dispute between the father and the remarried mother, what are the key considerations for the welfare of the child according to Indian law?",intent_classification,445,371,groq,1.0.0
2026-09-05T11:20:37.430814,dda02f24-0b20-4b08-8786-c39a73b64181,"In a custody dispute between the father and the remarried mother, what are the key considerations for the welfare of the child according to Indian law?",answer_generation,6672,3655,sarvam,1.0.0
2026-09-05T11:22:32.898874,32e14581-922b-4b61-9e7d-c0eb123c794f,what is RCR?,intent_classification,421,184,groq,1.0.0
2026-09-05T11:22:56.282808,b7885f4e-48a1-42ae-8c4e-3cd4945bb2be,Find cases where restitution of conjugal rights was established,intent_classification,426,198,groq,1.0.0
2026-09-05T11:23:37.178588,b7885f4e-48a1-42ae-8c4e-3cd4945bb2be,Find cases where restitution of conjugal rights was established,answer_generation,6137,4096,sarvam,1.0.0
2026-09-05T11:23:51.516625,eaa5cbad-b92e-4485-befa-16f3dbd84dcf,sammarise the cases found above,intent_classification,423,226,groq,1.0.0
2026-09-05T11:24:28.998902,eaa5cbad-b92e-4485-befa-16f3dbd84dcf,sammarise the cases found above,answer_generation,4034,4096,sarvam,1.0.0
2026-09-06T07:53:56.519831,832a62b1-5341-418f-a48d-9e497957957f,"What was the final outcome of the dispute between Shalu Ojha and Prashant Ojha regarding the rate of maintenance, and what were the directions given by the Supreme Court of India?",intent_classification,454,540,groq,1.0.0
2026-09-06T07:54:24.969924,82a78353-0f3c-44ab-8791-c4601dc1bc36,"What was the final outcome of the dispute between Shalu Ojha and Prashant Ojha regarding the rate of maintenance, and what were the directions given by the Supreme Court of India?",intent_classification,454,512,groq,1.0.0
2026-09-06T07:56:18.879505,00bbcd0c-8f4a-4706-ab32-c479b6bda7b6,"What was the final outcome of the dispute between Shalu Ojha and Prashant Ojha regarding the rate of maintenance, and what were the directions given by the Supreme Court of India?",intent_classification,454,442,groq,1.0.0
2026-09-06T07:59:10.728559,a676df94-d57b-4b9b-ac1b-73d516beccbf,"What was the final outcome of the dispute between Shalu Ojha and Prashant Ojha regarding the rate of maintenance, and what were the directions given by the Supreme Court of India?",intent_classification,454,495,groq,1.0.0
2026-09-06T08:00:38.361915,4b702f0a-064f-4321-9586-01abcd90c27c,"What was the final outcome of the dispute between Shalu Ojha and Prashant Ojha regarding the rate of maintenance, and what were the directions given by the Supreme Court of India?",intent_classification,384,1200,sarvam,1.0.0
2026-09-06T08:01:48.499398,1e58b9c6-406f-40b4-9862-2817f3bdccf2,"In the case of State of Rajasthan vs. Teg Bahadur & Ors., what were the key arguments presented by the counsel for the appellant and the respondents-accused regarding the reliability of evidence and the application of Section 113-B of the Evidence Act?",intent_classification,401,2594,sarvam,1.0.0
2026-09-06T08:02:00.996784,1e58b9c6-406f-40b4-9862-2817f3bdccf2,"In the case of State of Rajasthan vs. Teg Bahadur & Ors., what were the key arguments presented by the counsel for the appellant and the respondents-accused regarding the reliability of evidence and the application of Section 113-B of the Evidence Act?",answer_generation,6856,1112,sarvam,1.0.0
2026-09-06T08:02:30.278890,7326373b-4549-4eb6-b2bd-7d76115c1a21,"What was the final outcome of the dispute between Shalu Ojha and Prashant Ojha regarding the rate of maintenance, and what were the directions given by the Supreme Court of India?",intent_classification,384,1819,sarvam,1.0.0
2026-09-06T08:02:48.776339,7326373b-4549-4eb6-b2bd-7d76115c1a21,"What was the final outcome of the dispute between Shalu Ojha and Prashant Ojha regarding the rate of maintenance, and what were the directions given by the Supreme Court of India?",answer_generation,17111,1738,sarvam,1.0.0
2026-09-06T08:14:39.047616,c5631879-96af-48b0-9a69-c4ccf01352d6,Can a woman who has been forced to leave her matrimonial home due to acts of cruelty initiate legal proceedings in the jurisdiction of the courts where she has taken shelter with her parents or other family members?,intent_classification,386,975,sarvam,1.0.0
2026-09-06T08:29:35.360953,4efe1b78-c68e-4b45-928a-0320b8f9507c,Can a woman who has been forced to leave her matrimonial home due to acts of cruelty initiate legal proceedings in the jurisdiction of the courts where she has taken shelter with her parents or other family members?,intent_classification,386,650,sarvam,1.0.0
2026-09-06T08:29:55.508210,4efe1b78-c68e-4b45-928a-0320b8f9507c,Can a woman who has been forced to leave her matrimonial home due to acts of cruelty initiate legal proceedings in the jurisdiction of the courts where she has taken shelter with her parents or other family members?,answer_generation,5661,1871,sarvam,1.0.0
